camera_code,name,department_code,vms_name,district,city,junction,address,lat,lon,heading_deg,camera_type,protocol,resolution,fps,anpr_enabled,installed_on,tags
CAM-SGH-01,SG Highway at Sarkhej CCTV 01,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SG Highway at Sarkhej,"SG Highway, Sarkhej, Ahmedabad, Gujarat",22.975319,72.488485,42,fixed,rtsp,1920x1080,25,True,2025-11-10,ahmedabad|corridor:SG-HIGHWAY|linear|anpr
CAM-SGH-02,SG Highway at Sarkhej ANPR 02,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SG Highway at Sarkhej,"SG Highway, Sarkhej, Ahmedabad, Gujarat",22.991349,72.49623,196,anpr,rtsp,3840x2160,15,True,2026-05-14,ahmedabad|corridor:SG-HIGHWAY|linear|anpr
CAM-SGH-03,SG Highway at Ramdev nagar ANPR 03,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SG Highway at Ramdev nagar,"SG Highway, Ramdev nagar, Ahmedabad, Gujarat",23.021327,72.505467,16,anpr,rtsp,1920x1080,30,True,2026-03-09,ahmedabad|corridor:SG-HIGHWAY|linear|anpr
CAM-SGH-04,SG Highway at Bodakdev ANPR 04,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SG Highway at Bodakdev,"SG Highway, Bodakdev, Ahmedabad, Gujarat",23.038056,72.511652,204,anpr,rtsp,2560x1440,25,True,2025-11-18,ahmedabad|corridor:SG-HIGHWAY|linear|anpr
CAM-SGH-05,SG Highway at Thaltej ANPR 05,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SG Highway at Thaltej,"SG Highway, Thaltej, Ahmedabad, Gujarat",23.055333,72.51903,15,anpr,rtsp,1920x1080,25,True,2023-10-16,ahmedabad|corridor:SG-HIGHWAY|linear|anpr
CAM-SGH-06,SG Highway at Sola ANPR 06,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SG Highway at Sola,"SG Highway, Sola, Ahmedabad, Gujarat",23.071659,72.523788,193,anpr,rtsp,2560x1440,25,True,2026-04-26,ahmedabad|corridor:SG-HIGHWAY|linear|anpr
CAM-SGH-07,SG Highway at Bhagvat ANPR 07,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SG Highway at Bhagvat,"SG Highway, Bhagvat, Ahmedabad, Gujarat",23.087622,72.528572,13,anpr,rtsp,1920x1080,30,True,2024-11-14,ahmedabad|corridor:SG-HIGHWAY|linear|anpr
CAM-SGH-08,SG Highway at Gota ANPR 08,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SG Highway at Gota,"SG Highway, Gota, Ahmedabad, Gujarat",23.104788,72.533381,195,anpr,rtsp,1920x1080,25,True,2023-08-05,ahmedabad|corridor:SG-HIGHWAY|linear|anpr
CAM-SGH-09,SG Highway at Godrej Garden City CCTV 09,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SG Highway at Godrej Garden City,"SG Highway, Godrej Garden City, Ahmedabad, Gujarat",23.121802,72.538334,13,fixed,rtsp,1920x1080,15,True,2025-03-03,ahmedabad|corridor:SG-HIGHWAY|linear|anpr
CAM-SGH-10,SG Highway at Tragad ANPR 10,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SG Highway at Tragad,"SG Highway, Tragad, Ahmedabad, Gujarat",23.138624,72.543425,196,anpr,rtsp,1280x720,25,True,2024-05-24,ahmedabad|corridor:SG-HIGHWAY|linear|anpr
CAM-SGH-11,SG Highway at km 19.8 ANPR 11,MUNICIPAL,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SG Highway at km 19.8,"SG Highway, km 19.8, Ahmedabad, Gujarat",23.154978,72.553039,31,anpr,rtsp,1920x1080,30,True,2024-02-16,ahmedabad|corridor:SG-HIGHWAY|linear|anpr
CAM-SPR-01,SP Ring Road at Mumatpura ANPR 01,GSRTC,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at Mumatpura,"SP Ring Road, Mumatpura, Ahmedabad, Gujarat",23.020768,72.479136,152,anpr,rtsp,3840x2160,25,True,2025-06-12,ahmedabad|corridor:SP-RING|ring|anpr
CAM-SPR-02,SP Ring Road at km 10.4 ANPR 02,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at km 10.4,"SP Ring Road, km 10.4, Ahmedabad, Gujarat",22.973814,72.472909,337,anpr,rtsp,3840x2160,30,True,2025-01-22,ahmedabad|corridor:SP-RING|ring|anpr
CAM-SPR-03,SP Ring Road at Ashapur ANPR 03,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at Ashapur,"SP Ring Road, Ashapur, Ahmedabad, Gujarat",22.936553,72.499319,101,anpr,rtsp,2560x1440,20,True,2025-12-14,ahmedabad|corridor:SP-RING|ring|anpr
CAM-SPR-04,SP Ring Road at km 20.8 ANPR 04,GSRTC,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at km 20.8,"SP Ring Road, km 20.8, Ahmedabad, Gujarat",22.924027,72.546572,287,anpr,rtsp,1280x720,25,True,2026-02-16,ahmedabad|corridor:SP-RING|ring|anpr
CAM-SPR-05,SP Ring Road at Narol gam ANPR 05,GSRTC,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at Narol gam,"SP Ring Road, Narol gam, Ahmedabad, Gujarat",22.929588,72.598748,89,anpr,rtsp,2560x1440,25,True,2025-09-12,ahmedabad|corridor:SP-RING|ring|anpr
CAM-SPR-06,SP Ring Road at હાથીજણ ANPR 06,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at હાથીજણ,"SP Ring Road, હાથીજણ, Ahmedabad, Gujarat",22.945226,72.646816,233,anpr,rtsp,1920x1080,20,True,2024-04-25,ahmedabad|corridor:SP-RING|ring|anpr
CAM-SPR-07,SP Ring Road at Vastral ANPR 07,POLICE,Ahmedabad City Surveillance,Ahmedabad,Ahmedabad,SP Ring Road at Vastral,"SP Ring Road, Vastral, Ahmedabad, Gujarat",22.987897,72.664547,14,anpr,rtsp,1920x1080,20,True,2025-10-23,ahmedabad|corridor:SP-RING|ring|anpr
